Date,UserName,Comment,Like
2025-11-30T07:22:52Z,@saifaldoorton4707,Aku rasa  redenominasi 1965 itu gagal karena kekacauan politik. Kalau sekarang yg jadi rintangan adalah para pejabat korup yg akan berusaha menggagalkan rancangan redenomisasi ini.,0
2025-11-30T04:49:21Z,@ArsyiAl,"Yakin pasti bisa,karena liat posisi ekonomi Indonesia",0
2025-11-30T04:20:44Z,@Jilongoverload,Dulu gagal karena inflasi hampir 200%,0
2025-11-29T14:52:30Z,@ilikeu-1tahunyangakandatang,"<a href=""https://www.youtube.com/watch?v=II3bBGHCL_g&amp;t=343"">5:43</a> not onle",0
2025-11-29T13:31:22Z,@EdawnCLVZ,"Ingat bahwa koruptor kita ini di atas hukum, bahkan mereka yang bikin hukumnya. Sekarang ini mereka masih begitu kuat bisa bikin hukum buat melewatkan mereka sendiri. Belum lagi bila sampai tertangkap, nanti bisa di-amnesti Presiden. Saya rasa sekarang dengan kepercayaan rakyat kepada penguasa lagi paling rendahnya sejak Indonesia merdeka, ini bukan saat yg tepat buat re-denominasi.",0
2025-11-29T07:38:42Z,@DikiPaolo,"Insyallah sekarang sosialiasi lebih mudah, dan sdm kita semakin berkembang. Dan cukup mudah beradaptasi",0
2025-11-28T14:37:18Z,@satriabiruku,tahun 65 sanering kata nenek gw uang mati alias uang lama mendadak dinyatakan ngga laku jadi banyak orang abis jual barang trus duitnya ga kepakek alias ngga laku,0
2025-11-28T11:19:37Z,@Andridobrak,"KETAR KETIR NIH , PARA KORUPTOR YG TIMBUN UANG RUPIAH TUNAI",0
2025-11-28T11:03:40Z,@wahyuoconnormotovlog2258,"Harus sering di iklan nin seluruh TV nasional, bahkan di iklan media sosial dan media hiburan juga seperti YouTube sejenis nya,",0
2025-11-28T04:44:51Z,@nurizal1353,Klau Jadi itu 1000 ajh 1 rupiah klau 100 perak apa,0
2025-11-28T04:10:33Z,@DeKualChannel,kalo 100 rupiah jadi gimana,0
2025-11-27T23:52:42Z,@malamsyah7292,Coba saja beli ayam Rp.50 jual sate Rp.1000 yah...tak pernah laku satenya karena terlalu boros beli satenya pun ditinggalkan bikin sendiri saja,1
2025-11-27T16:27:20Z,@dausfirdaus-ix5vw,Gak bakal terealisasikan karna efek redenominasi malah bikin pekerja yang gaji UMR  sadar bahwa gaji dia gak sesuai dll sulit dijelaskan,0
2025-11-27T14:52:48Z,@Handa-m9d,"Harus berani, kalau tidak berani Indonesia akan mundur",0
2025-11-27T14:08:24Z,@logian3159,"Tapi kalo korea selatan nominalnya gede, tapi nilainya kuat, gimana caranya itu ya🧐",0
2025-11-27T06:25:20Z,@iMusikai,"Sosialisasi lah intinya, jangan langsung terapin.<br>Orang dah pada pinter, gak gaptek kek jaman dulu.<br>Gimna sih lo?",0
2025-11-27T02:41:30Z,@amanuddinkadir,para kuroptor bakal mati berdiri wang disimpan dibunker ga laku mesti ditukar akan ketahuan darimana kuroptor dapat wang banyak,0
2025-11-27T01:31:23Z,@allvii.g.g,"tujuanya Besar Pak Purbaya Redenominasi  biar uang2 yang ditumpuk koruptor dalam bentuk cash tidak benilai lagi atau paling tidak harus ditukarkan, sehingga uang yg tadinya di simpan atau diam bergerak mau tidak mau di gerakan karna adanya tuntutan masa berlaku 1 tahun sebelum transisi mata uang baru. Dan juga uang2 simpanan para oknum2 ini tidak dipakai pada kepentingan tertentu, dan di desak masuk kedalam prekonomian masyarakat dengan cara di belanjakan atau di tukar dengan cara di belanjakan.",0
2025-11-27T00:35:53Z,@aryaputra6356,Optimis lah..karna korupsi bakal ketahuan karna menyimpan uang kes terlalu banyak,0
2025-11-26T22:34:53Z,@muhumar8824,"Apakah dolar dirupiah in,<br>Nolnya bakal berkurang juga?",0
2025-11-26T22:09:42Z,@1988emfrid,LANGKAH YANG NGGA ADA MANFAATNYA TAPI BESAR RISIKONYA,0
2025-11-26T15:10:51Z,@Ardiyansyah2-g3v,Tetep aja jual barang rongsok turun tros dan bayar apa apa pake qelis yg gak pake qelis gimana yak klo gak ada cashles,1
2025-11-26T15:04:02Z,@mohdkhairi4126,SELAGI ADA KORUPSI ...PUNGLI.... TIPU susah untuk berjaya tak kira berapa kecil atau besar nol nya,0
2025-11-26T14:12:55Z,@Uiii514,Yang penting nilainya di kuatkan bukan membuang NOL nya,0
2025-11-26T09:41:44Z,@mohamadbagus6825,"Semua berawal dari yang riil baru yang ga riil seperti nilai mata uang<br>Sebetulnya jika standar uang Indonesia berdasarkan emas dan perak untuk redeominasi uang tidak ada masalahnya karena nilai emas dan perak stabil, tapi jika masih tetap standar uang ke dollar maka harus dieksekusi hati² sebab nilai dollar selalu berubah tergantung ekonomi riil dari Indonesia ke Luar Negeri",0
2025-11-26T08:39:33Z,@KudaLaut-d2y,"Kalo orang selalu ke malaysia dia,tidak bingung.1 rupiah.angaplh jadi 1 ringit,ya kalo masalh hitung rupiah.lebih tinggilh ringgit",0
2025-11-26T07:52:07Z,@keykey-x9c7v,ZAMAN SOEKARNO  UDAH DIPRAKTEKKAN DENOMINASI AP YG TRJADI RAKYAT BYK YG JATUH MISKIN U BWELISEMBAKO N AIR PUTIH MESTI NGANTRI BPULYUH TIBU..MALAN UBI AJA JD BRG MEWAH ZAMAN SOEKARNO SIOSTEM DENOMINASI ...TOLAK KEBIJAKAN PURBAYA MEMISKIN INDONESIA DENGAN SISTEM DENOMINASI MEMISKIN RAkyat membodi rakyat indonseis memanipulasi aset n kerja keras indonesia dengan nilai mun 2 milyar asetmu dihargai 2 juta merusak n memiskin n mnghancurkan ekoni n kesejahteraan rakyat indonesia,0
